,VW,VW_PREF,spread,spread_rolling_mean,spread_rolling_std,spread_rolling_z_score,Trade,Returns
1975,153.852,170.134,-0.09570103565424891,-0.08149218361431883,0.009426732376973486,-1.5072934577667438,0.0,0.0
1976,153.837,168.115,-0.08492995865925122,-0.0808968491393258,0.008758994250078658,-0.4604534955470727,0.0,0.0
1977,153.837,168.115,-0.08492995865925122,-0.0804217183446515,0.008227728309860575,-0.5479325695765608,0.0,0.0
1978,153.933,168.219,-0.08492500847110018,-0.08023412597817339,0.008070880925318859,-0.5812107174337312,0.0,0.0
1979,148.487,162.616,-0.08688566930683339,-0.08089487148448427,0.00804617206062503,-0.7445525371829741,0.0,0.0
1980,154.034,170.172,-0.09483346261429616,-0.08186725656767398,0.008507272989262342,-1.5241318884427235,0.0,0.0
1981,157.17,173.309,-0.09312268837740689,-0.08253315070591202,0.008851591952500163,-1.1963427288922666,0.0,0.0
1982,153.331,169.554,-0.09568043219269384,-0.0833727503541276,0.009273991530166515,-1.3271180805515852,0.0,0.0
1983,154.39,171.534,-0.09994520036844011,-0.08451335582197352,0.009851060838492826,-1.5665160127899085,0.0,0.0
1984,157.095,174.94,-0.10200640219503829,-0.0851268293696841,0.010550676028749751,-1.5998569929887614,0.0,0.0
1985,155.765,172.824,-0.09870735545988997,-0.08642246629157227,0.010547616980660195,-1.1647075534542937,0.0,0.0
1986,151.202,167.197,-0.09566559208598242,-0.08791056948068382,0.009552932290850892,-0.8117949933263741,0.0,0.0
1987,149.32,165.632,-0.09848338485316854,-0.08938700205570894,0.008714100582675393,-1.0438693828648506,0.0,0.0
1988,144.139,159.525,-0.09644883247139943,-0.09036478381303559,0.008326965009764903,-0.7306441964424223,0.0,0.0
1989,148.534,163.427,-0.09112937274746524,-0.0908385140160265,0.008070936832900819,-0.03603779058870527,0.0,0.0
1990,151.976,166.839,-0.08908588519470867,-0.09177425168071719,0.006506297691868298,0.41319450989285306,0.0,0.0
1991,164.439,180.182,-0.08737276753504787,-0.09150650434533139,0.006574818318739445,0.6287225912390015,0.0,0.0
1992,168.396,187.424,-0.10152381765408923,-0.09248093257175381,0.00654131904231883,-1.3824253218399523,0.0,0.0
1993,171.077,188.825,-0.09399179134118889,-0.09328243102836595,0.005580126269225506,-0.12712262744573988,0.0,0.0
1994,170.939,188.673,-0.09399331117860006,-0.09346809635100503,0.0055365756520885,-0.09486275643987803,0.0,0.0
1995,170.581,187.363,-0.08956944540811158,-0.09316151683869817,0.0055760454312215,0.644196944751165,0.0,0.0
1996,174.019,189.657,-0.08245411453307816,-0.09303772463238952,0.005791721833952612,1.8273685102187442,0.0,0.0
1997,168.114,183.588,-0.0842865546767762,-0.09300555443326576,0.00584070652863161,1.4927988101693388,0.0,0.0
